article_id,title,authors
1526752,"Less talk, more rock: automated organization of community-contributed collections of concert videos",Lyndon Kennedy;Mor Naaman
1526753,A generalised cross-modal clustering method applied to multimedia news semantic indexing and retrieval,Alberto Messina;Maurizio Montagnuolo
1526754,"What makes conversations interesting?: themes, participants and consequences of conversations in online social media",Munmun De Choudhury;Hari Sundaram;Ajita John;Dorée Duncan Seligmann
1526756,Visual diversification of image search results,Reinier H. van Leuken;Lluis Garcia;Ximena Olivares;Roelof van Zwol
1526757,Tag ranking,Dong Liu;Xian-Sheng Hua;Linjun Yang;Meng Wang;Hong-Jiang Zhang
1526758,Learning to tag,Lei Wu;Linjun Yang;Nenghai Yu;Xian-Sheng Hua
1526760,Efficient interactive fuzzy keyword search,Shengyue Ji;Guoliang Li;Chen Li;Jianhua Feng
1526761,An axiomatic approach for result diversification,Sreenivas Gollapudi;Aneesh Sharma
1526762,Quicklink selection for navigational query results,Deepayan Chakrabarti;Ravi Kumar;Kunal Punera
1526764,Inverted index compression and query processing with optimized document ordering,Hao Yan;Shuai Ding;Torsten Suel
1526765,RuralCafe: web search in the rural developing world,Jay Chen;Lakshminarayanan Subramanian;Jinyang Li
1526766,Using graphics processors for high performance IR query processing,Shuai Ding;Jinru He;Hao Yan;Torsten Suel
1526768,Improved techniques for result caching in web search engines,Qingqing Gan;Torsten Suel
1526769,Nearest-neighbor caching for content-match applications,Sandeep Pandey;Andrei Broder;Flavio Chierichetti;Vanja Josifovski;Ravi Kumar;Sergei Vassilvitskii
1526770,Compressed web indexes,Flavio Chierichetti;Ravi Kumar;Prabhakar Raghavan
1526772,Unsupervised query categorization using automatically-built concept graphs,Eustache Diemert;Gilles Vandelle
1526773,Understanding user's query intent with wikipedia,Jian Hu;Gang Wang;Fred Lochovsky;Jian-tao Sun;Zheng Chen
1526774,Discovering users' specific geo intention in web search,Xing Yi;Hema Raghavan;Chris Leggetter
1526776,A search-based method for forecasting ad impression in contextual advertising,Xuerui Wang;Andrei Broder;Marcus Fontoura;Vanja Josifovski
1526777,Exploiting web search engines to search structured databases,Sanjay Agrawal;Kaushik Chakrabarti;Surajit Chaudhuri;Venkatesh Ganti;Arnd Christian Konig;Dong Xin
1526778,Online expansion of rare queries for sponsored search,Andrei Broder;Peter Ciccolo;Evgeniy Gabrilovich;Vanja Josifovski;Donald Metzler;Lance Riedel;Jeffrey Yuan
1526780,Collective privacy management in social networks,Anna Cinzia Squicciarini;Mohamed Shehab;Federica Paci
1526781,To join or not to join: the illusion of privacy in social networks with mixed public and private user profiles,Elena Zheleva;Lise Getoor
1526782,Privacy diffusion on the web: a longitudinal perspective,Balachander Krishnamurthy;Craig Wills
1526784,All your contacts are belong to us: automated identity theft attacks on social networks,Leyla Bilge;Thorsten Strufe;Davide Balzarotti;Engin Kirda
1526785,Using static analysis for Ajax intrusion detection,Arjun Guha;Shriram Krishnamurthi;Trevor Jim
1526786,A hybrid phish detection approach by identity discovery and keywords retrieval,Guang Xiang;Jason I. Hong
1526788,Rapid prototyping of semantic mash-ups through semantic web pipes,Danh Le-Phuoc;Axel Polleres;Manfred Hauswirth;Giovanni Tummarello;Christian Morbidoni
1526789,idMesh: graph-based disambiguation of linked data,Philippe Cudré-Mauroux;Parisa Haghani;Michael Jost;Karl Aberer;Hermann De Meer
1526790,OpenRuleBench: an analysis of the performance of rule engines,Senlin Liang;Paul Fodor;Hui Wan;Michael Kifer
1526792,Large scale integration of senses for the semantic web,Jorge Gracia;Mathieu d'Aquin;Eduardo Mena
1526793,Triplify: light-weight linked data publication from relational databases,Sören Auer;Sebastian Dietzold;Jens Lehmann;Sebastian Hellmann;David Aumueller
1526794,SOFIE: a self-organizing framework for information extraction,Fabian M. Suchanek;Mauro Sozio;Gerhard Weikum
1526796,Evaluating similarity measures for emergent semantics of social tagging,Benjamin Markines;Ciro Cattuto;Filippo Menczer;Dominik Benz;Andreas Hotho;Gerd Stumme
