article_id,title,authors
1858221,The booTable experience: iterative design and prototyping of an alternative interactive tabletop,Dimitris Grammenos;Yannis Georgalis;Nikolaos Kazepis;Giannis Drossis;Nikolaos Ftylitakis
1858222,"Design from the everyday: continuously evolving, embedded exploratory prototypes",Clint Heyer;Margot Brereton
1858224,Visual design of physical user interfaces for NFC-based mobile interaction,Alina Hang;Gregor Broll;Alexander Wiethoff
1858225,Designing for the invisible: user-centered design of infrastructure awareness systems,Juan David Hincapié-Ramos;Aurélien Tabard;Jakob Bardram
1858226,Incorporating user control in automated interactive scheduling systems,Jina Huh;Martha Pollack;Hadi Katebi;Karem Sakallah;Ned Kirsch
1858228,An analysis and critique of Research through Design : towards a formalization of a research approach,John Zimmerman;Erik Stolterman;Jodi Forlizzi
1858229,Bridging designers' intentions to outcomes with constructivism,Kevin Muise;Ron Wakkary
1858230,The CLOTHO project: predicting application utility,Joshua Hailpern;Nicholas Jitkoff;Joseph Subida;Karrie Karahalios
1858232,Water wars: designing a civic game about water scarcity,Tad Hirsch
1858233,U.F.O.scope!: families playing together at the public library,Eva Eriksson
1858234,Observing the mobile music phenomenon: one in nine commuters is wired,Lassi A. Liikkanen;Mikko Lahdensuo
1858235,TTI model: model extracting individual's curiosity level in urban spaces,Chihiro Sato;Shigeyuki Takeuchi;Takuo Imbe;Shuichi Ishibashi;Masahiko ?nami;Masa Inakage;Naohito Okude
1858236,Human-to-dancer interaction: designing for embodied performances in a participatory installation,David A. Shamma;Renata M. Sheppard;Jürgen Scheible
1858237,Clear Panels: a technique to design mobile application interactivity,Quincy Brown;Elizabeth Bonsignore;Leshell Hatley;Allison Druin;Gregory Walsh;Elizabeth Foss;Robin Brewer;Joseph Hammer;Evan Golub
1858239,Valence method for formative evaluation of user experience,Michael Burmester;Marcus Mast;Kilian Jäger;Hendrik Homans
1858240,Virtual possessions,William Odom;John Zimmerman;Jodi Forlizzi
1858241,Do emotions matter in creative design?,Corina Sas;Chenyan Zhang
1858242,Digital user research in Korea: defining quality factors for an internet-based research tool,Puck Siemerink;Minyou Rek;Annemiek van Boeijen;Yong-Ki Lee;Kun-Pyo Lee
1858244,Bricolage and consultation: addressing new design challenges when building large-scale installations,William R. Hazlewood;Nick Dalton;Paul Marshall;Yvonne Rogers;Susanna Hertrich
1858245,Designing for high expectations: balancing ambiguity and thorough specification in the design of a wayfinding tool for firefighters,Leonardo Ramirez;Tobias Dyrks
1858247,DynamiCross: dynamic representation and sharing of information with flexible cross-reality interactions,Jee Yeon Hwang
1858248,"IT-services for everyday life with diabetes: learning design, community design, inclusive design",Anne Marie Kanstrup;Marie Glasemann;Ole Nielsby
1858249,LumiBots: making emergence graspable in a swarm of robots,Mey Lean Kronemann;Verena V. Hafner
1858250,TacTowers: an interactive training equipment for elite athletes,Martin Ludvigsen;Maiken Hillerup Fogtmann;Kaj Grønbæk
1858251,Home awareness: connecting people sensuously to places,Aviaja Borup Lynggaard;M. G. Petersen;R. Gude;M. Mortensen
1858252,SINAIS: home consumption package: a low-cost eco-feedback energy-monitoring research platform,Filipe Quintal;Nuno J. Nunes;Adrian Ocneanu;Mario Berges
1858253,ThanatoFenestra: photographic family altar supporting a ritual to pray for the deceased,Daisuke Uriu;Naohito Okude
1858254,SnowGlobe: the development of a prototype awareness system for longitudinal field studies,Thomas Visser;Martijn Vastenburg;David Keyson
1858255,Towards multimodal interaction in smart home environments: the home operating system,Florian Weingarten;Marco Blumendorf;Sahin Albayrak
1858257,Handcrafting textile mice,Hannah Perner-Wilson;Leah Buechley
1858258,Heritage inquiries: a designerly approach to human values,Elisa Giaccardi;Ole Sejer Iversen
1858259,Informing the design of the future urban landscape,Michael Smyth;Ingi Helgason
1858260,Tracing design(ed) authority in critical modes of making,Marisa Cohn;Tobie Kerridge;Ann Light;Silvia Lindtner;Matt Ratto
1858261,Open design spaces: socially crafting interactive experiences,Steffen Budweg;Sebastian Draxler;Steffen Lohmann;Asarnusch Rashid;Gunnar Stevens
1858262,Materialities influencing the design process,Anijo Punnen Mathew;Tom MacTavish;Jared Donovan;Laurens Boer
1858368,Conversational attitude-aware behavioral design for robot assistant combined with video communication,Tomoko Yonezawa;Hirotake Yamazoe;Yuichi Koyama;Shinji Abe;Kenji Mase
1858369,Formalising policies of a mLearning system using CCA,Mohammed Al-Sammarraie;François Siewe;Hussein Zedan
1858370,A cost model for autonomic reconfigurations in high-performance pervasive applications,Carlo Bertolli;Gabriele Mencagli;Marco Vanneschi
1858371,Placement variations and their diagnosis,Waltenegus Dargie;Alexander Schill
1858372,A study on a ubiquitous system for collecting barrier-free information of evacuation centers for wheelchair users,Noriaki Kuwahara;Masaharu Nishiura;Yuto Shiomi;Kazunari Morimoto;Youko Iwawaki;Naoko Nishida
1858373,Challenges in ubiquitous context recognition with personal mobile devices,Marcus Handte;Umer Iqbal;Wolfgang Apolinarski;Pedro José Marrón
1858374,Activity recognition of the elderly,Matti Pouke;Seamus Hickey;Tomohiro Kuroda;Haruo Noma
1858375,Modular context processing and provisioning: prototype experiences,Michael Knappmeyer;Ralf Tönjes;Saad Liaquat Kiani;Nigel Baker
1858376,Expectation aware in-network context processing,Stephan Sigg;Michael Beigl
1858377,Context aware architecture for sending adaptive HELLO messages in VANET,Moath Muayad Al-Doori;Ali Hilal Al-Bayatti;Hussein Zedan
1858379,Hybrid decision tree based on inferred attribute,K. Hima Bindu;P. S. V. S. Sai Prasad;C. Raghavendra Rao
1858380,Impact analysis of Jensen and Sk pal fuzzification in classification,Rama Devi Yellasiri;P. Venu Gopal;P. S. V. S. Sai Prasad
1858381,PSO learning on artificial neural networks,Nisha Haridas;Nirmala Devi.M
1858382,Temperature and combustion quality control in power station boilers using artificial neural networks,K. Sujatha;N. Pappa
1858383,Information processing via post-synaptic EPSP-spike complex and model-based predictions of induced changes during plasticity in cerebellar granular neuron,Manjusha Nair;Nidheesh Melethadathil;Bipin Nair;Shyam Diwakar
1858384,Action potential and bursting phenomena using analog electrical neuron,Mithula Parangan;Chitra Aravind;Harilal Parasuraman;Krishnashree Achuthan;Bipin Nair;Shyam Diwakar
1858385,Multi-criteria hybrid PSO algorithm with communications for combinatorial optimisation,K. Lakshmi
1858386,Optimizing the kernel selection for support vector machines using performance measures,R. Sangeetha;B. Kalpana
1858387,Adaptive dimensionality reduction for recent-biased time series analysis,D. Muruga Radha Devi;V. Maheswari;P. Thambidurai
1858388,Improving multiplication and reminder using implementation based on word and index,Najmeh Danesh;Malihe Danesh;Hossein Shirgahi;Abbas Ghaemi B.
1858389,Method based technique of compilation with compilation server,Mrudula Nimbarte;Smita Nagtode
1858390,Adaptive computer assisted instruction (CAI) for students with dyscalculia (learning disability in mathematics),A. Brunda;J. Bhavithra
1858391,A hybrid prediction model with F-score feature selection for type II Diabetes databases,B. Sarojini Ilango;N. Ramaraj
1858392,SVM classification to distinguish Parkinson disease patients,Ipsita Bhattacharya;M. P. S. Bhatia
1858393,Clustering test cases to achieve effective test selection,P. G. Sapna;Hrushikesha Mohanty
1858394,Fast computation of marginalized walk kernel for virtual screening in drug discovery,M. P. Preeja;K. P. Soman
1858395,A combined PCA-MLP model for predicting stock index,K. V. Sujatha;S. Meenakshi Sundaram
1858396,Electroencephalogram wave signal analysis and epileptic seizure prediction using supervised classification approach,Devi S. T. Pavithra;M. S. Vijaya
1858397,Efficient temporal pattern mining for humanoid robot,Upasna Singh;G. C. Nandi
1858398,A national public healthcare framework using grid,Rekha Singhal
1858399,Vocational education technology: rural India,B. Bhavani;Srividya Sheshadri;R. Unnikrishnan
1858400,Digitization of Indian literature: problem and solution,K. V. N. Sunitha;A. Sharada
1858401,Language independent voice-based gender identification system,Jisha C. Thankappan;Sumam Mary Idicula
1858402,Interactive 3D class room: a framework for Web3D using J3D and JMF,V. Vani;S. Mohan
1858403,Feature extraction based on multiphase level set framework for sign language recognition system,Krishnaveni Marimuthu;Radha Venkatachalam
1858404,The role of social networks on female students activities,Rozita Jamili Oskouei
1858405,Social computing in universities: an evaluation of practicality,V. Smrithi Rekha;Vidhya Balasubramanian;V. Adinarayanan
1858406,Optimization of joins using random record generation method,G. Hemalatha;K. Thanuskodi
1858407,APPT: A privacy preserving transformation tool for micro data release,E. Poovammal;M. Ponnavaikko
1858408,Developing IITB Smart CampusGIS Grid,Smita Sengupta;Kavita V. V. Ganeshan;N. L. Sarda
1858409,Analysis and evaluation of classifiers using multi-temporal images in land use and land cover mapping,P. K. Srimani;Nanditha Prasad
1858410,Context representation using hierarchical method and heuristic based context selection in context aware computing,B. Vanathi;V. Rhymend Uthariaraj
1858411,A combined preprocessing scheme for texture based ice classification from SAR images,P. Subashini;M. Krishnaveni;Bernadetta Kwintiana Ane;Dieter Roller;Gerald Schaefer
1858412,Performance analysis of various leaf boundary edge detection algorithms,N. Valliammal;S. N. Geethalakshmi
1858413,A video watermarking algorithm for MPEG videos,T. Sridevi;B. Krishnaveni;V. Vijaya Kumar;Y. Rama Devi
1858414,White Matter Hyperintensity segmentation using multiple stage FCM,Dancy Kurian;R. S. Jayasree;M. Wilscy;A. K. Gupta
1858415,Aggregation of Gabor wavelets and curvelets with PCA for efficient retrieval of face images,S. S. Shylaja;S. Natarajan;K. N. Balasubramanyamurthy;K. G. Abhijit;Jayashree Diwakar;S. Mohammed Saifulla
1858416,VLSI implementation of image segmentation processor for brain MRI,K. J. Shanthi;M. Sasikumar
1858417,A novel pixel based blind watermarking algorithm by applying Fibonacci transform,S. S. Sujatha;M. Mohammed Sathik
1858418,Enhanced layer based compound image compression,D. Maheswari;V. Radha
1858419,Pipelined backoff scheme for bandwidth measurement in QoS enabled routing towards scalability for MANets,N. Sumathi;Antony Selvadoss Thanamani
1858420,Wireless intrusion detection based on different clustering approaches,Athira. M. Nambiar;Asha Vijayan;Aishwarya Nandakumar
1858421,Pattern based routing for event driven wireless sensor-actor networks,N. A. Vasanthi;S. Annadurai
1858422,Real-time monitoring of explosives using wireless sensor networks,S. Simi;Maneesha V. Ramesh
1858423,AutoRegressive channel modeling and estimation using Kalman filter for downlink LTE systems,S. Kirthiga;M. Jayakumar
1858424,Fault tolerant optimal path for data delivery in wireless sensor networks,Deepali Virmani;Satbir jain
1858425,Trust based security in MANET routing protocols: a survey,Poonam;K. Garg;M. Misra
1858426,A metadata and annotation extractor from PDF document for semantic web,Archana Shukla
1858427,Finding microarray genes using GO ontology,M. Selvanayaki;V. Bhuvaneswari
1858428,Concept ontology construction for sports video,Sunitha Abburu;R. J. Anandhi
1858429,XML filtering system based on ontology,Swati Saigaonkar;Madhuri Rao
1858430,Evaluation of a hybrid approach of personalized web information retrieval using the FIRE data set,Namita Mittal;Richi Nayak;M. C. Govil;K. C. Jain
1858431,An intelligent technique to detect file formats and e-mail spam,Ranaganayakulu Dhanalakshmi;Chenniappan Chellappan
1858432,An interactive RTOS based machine controller through speech using ESTREL,R. Maheswari;S. Sheeba Rani
1858433,An intelligent numerical algorithm for solving system of linear algebraic equations,Bai. V. Ramani;S. N. Sivanandam
1858434,A study on impulse noise removal for varied noise densities,V. Radhika;G. Padmavathi
1858435,Mining web logs: an automated approach,G. Sudhamathy
1858436,Linear text segmentation using classification techniques,Raji R. Pillai;Sumam Mary Idicula
1858437,Continuous Malayalam speech recognition using Hidden Markov Models,Anuj Mohamed;K. N. Ramachandran Nair
1858438,Fault tolerant techniques for reconfigurable platforms,Upasana Sharma
1858439,An enhanced clusterer aggregation using nebulous pool,R. J. Anandhi;S. Natarajan;Sunita Abburu
1858440,Event mention detection using rough set and semantic similarity,S. Sangeetha;Michael Arock;R. S. Thakur
1858441,Sender initiated decentralized dynamic load balancing for multi cluster computational grid environment,Malarvizhi Nandagopal;K. Gokulnath;V. Rhymend Uthariaraj
1858442,English to Malayalam translation: a statistical approach,Mary Priya Sebastian;Sheena Kurian K;G. Santhosh Kumar
1858443,Malware detection using assembly code and control flow graph optimization,S. S. Anju;P. Harmya;Noopa Jagadeesh;R. Darsana
1858444,Spam classification using supervised learning techniques,R. Deepa Lakshmi;N. Radha
1858445,Effective self adaptation by integrating adaptive framework with architectural patterns,Vallidevi Krishnamurthy;Chitra Babu
1858446,Enhanced packet loss recovery in voice multiplex-multicast based VoIP networks,K. Maheswari;M. Punithavalli
1858447,A study of reconstruction algorithms in computerized tomographic images,T. Arathi;Latha Parameswaran;K. P. Soman
1858478,ALMTF++: a new congestion control for large scale multicast transmission,"Andrea Krob;Alberto S., Jr.;João V. Portal;Jonas Hartmann;José V. de Lima;Valter Roesler"
1858479,QoE and QoS support on Wireless Mesh Networks,Rafael Lopes Gomes;Jose Jailton Júnior;Antônio Gomes Abelém;Waldir Moreira Júnior
1858480,Enabling user authentication and authorization to support context-aware UPnP applications,Thiago Sales;Leandro Sales;Hyggo Almeida;Angelo Perkusich
1858481,A model of multimedia components interconnection with support to communication mechanisms dynamic selection and reconfiguration,Felipe A. P. Pinto;Adilson Barboza Lopes;André G. P. Silva;Daniel Cunha da Silva
1858482,A personalized TV guide system compliant with Ginga,Paulo Muniz de Ávila;Sérgio Donizetti Zorzo
1858483,Ginga-NCL: supporting multiple devices,Romualdo Monteiro de Resende Costa;Marcio Ferreira Moreno;Luiz Fernando Gomes Soares
1858484,Convergence model between the IDTV Brazilian middleware and home networking software platforms,"Nairon S. Viana;Orlewilson B. Maia;Vicente F. Lucena, Jr."
1858485,StoryToCode: a model based on components for specifying interactive digital TV convergent applications,Manoel C. Marques Neto;Celso A. S. Santos
1858486,Characterizing use and quality of textual attributes in Web 2.0 applications,Flavio Figueiredo;Fabiano Belém;Henrique Pinto;Jussara Almeida;Marcos Gonçalves;David Fernandes;Edleno Moura;Virgilio Almeida;Marco Cristo
1858487,Using automatic techniques to evaluate usability of web multimodal interfaces design,Americo Talarico Neto;Renata Pontin de M. Fortes;Alessandro Assis;Willian Watanabe
1858488,Software product lines for Web 2.0 synchronous collaboration,Tiago C. Gaspar;Antônio F. do Prado;Cesar A. C. Teixeira
1858489,Componere: component-based in web authoring,André Santanchè;Matheus Mota;Diego Costa;Nícolas Oliveira;Christianne Orrico Dalforno
1858490,A platform based on web services for context middleware integration,Frederico Lopes;Flavia Delicato;Thais Batista;Paulo Pires
1858491,A context information structure using peer-to-peer networks with the TV users,"Roberto Fagá, Jr.;Felipe Maximino;Bruno Furtado;José Martins, Jr.;Renan G. Cattelan;Maria da Graça Pimentel"
1858492,Content distribution in trial-aware environments,Jader Silva;João Rosa;Jorge Barbosa;Débora N. F. Barbosa;Luiz Antônio Moro Palazzo
1858493,Improving audio files availability in file sharing networks,Márcio Dahia;Geber Ramalho;Fernando Trinta;Giordano Cabral;Marcela Guerra
1858494,XTemPlate 3.0 language: easing the authoring of NCL programs for interactive digital TV,Joel André Ferreira dos Santos;Débora Christina Muchaluat Saade
1858495,An approach for textual authoring of hypermedia documents based on the use of programmatic visualization and hypertextual navigation,Roberto Gerson de Albuquerque Azevedo;Bruno Seabra Lima;Carlos de Salles Soares Neto;Mário Meireles Teixeira
1858496,A collective discrimination of moments and segments as an exploitation of the Watch-and-Comment concept,Giliard Brito de Freitas;Maria da Graça C. Pimentel;Cesar Augusto C. Teixeira
1858497,Reuse and imports in Nested Context Language,Carlos de Salles Soares Neto;Luiz Fernando Gomes Soares
1858498,Comparative study of accessibility evaluation methods with visual impaired,Catharine Ferreira Bach;Simone Bacellar Leal Ferreira;Denis S. Silveira
1858499,LinkedTube: semantic information on web media objects,Carlos Eduardo C. F. Batista;Daniel Schwabe
1858500,A contextual analysis of the YouTube duplicate content,Tiago Rodrigues;Fabrício Benevenuto;Virgílio Almeida;Jussara Almeida;Marcos Gonçalves
1858501,A behaviour model of the SopCast users,Alex Borges Vieira;Pedro Gomes;Marcus Rocha;Jussara Almeida;Sergio Campos
1858502,An environment for video content indexing and retrieval base don visual features,Carlos A. F. Pimentel Filho;Thomas A. Buck;Celso A. S. Santos
1858503,Supporting multimedia recommender systems with peer-level annotations,Marcelo G. Manzato;Rudinei Goularte
1858504,Practical analysis and refinement of a SVC standard scalable vídeo coder,Ronaldo Husemann;André Detsch;Valter Roesler;José Valdeni Lima;Altamiro Amadeu Susin
1858505,Custom ordering on digital library information retrieval,Carlos A. Furtado;Roberto Willrich;Renato Fileto;Fernando de L. Siqueira;Saïd Tazi
1858506,Anaglyphic stereoscopic perception on lossy compressed digital videos,Leonardo Antonio de Andrade;Rudinei Goularte
1858507,An architecture for rendering Web 3D virtual environments on computers with limited graphic processing power,Maikon Cismoski dos Santos;Hélio Pedrini;André Luiz Battaiola
1858508,Evaluation of users access and navigation profiles on web video sharing environments,Fabrício Benevenuto;Adriano Pereira;Tiago Rodrigues;Virgílio Almeida;Jussara Almeida;Marcos Gonçalves
1858509,WebLabs: a model for pre-settings specification and validation,Henrique V. F. Melo;Daniel C. Cugler;Cesar A. C. Teixeira
1858510,Multimedia document authoring based on identification and filling of recurrent structures,Bruno Seabra Lima;Carlos de Salles Soares Neto;Roberto Gerson de Albuquerque Azevedo
1858511,3D Virtual museum for Digital TV,Isaias J. A. Soares;Luciano Silva;Olga R. P. Bellon;Alexandre Vrubel
1858512,Content dissemination and sharing model with support to opportunistic communication,Ricardo Ap. Perez de Almeida;Danilo Augusto Moschetto;Hélio Crestana Guardia
1858513,Video navigation based on recent frames,Didier A. Vega O.;Diogo de C. Pedrosa;Maria da Graça Pimentel;Rudinei Goularte
1858514,Acoustic models comparison using HTK and the Spoltech corpus to Brazilian Portuguese,Yuri T. Passos;Carlos A. F. Pimentel Filho;Uriel Marx C. Bispo;Leonardo Nogueira Matos
1858515,The use of common sense by therapists on computer games as a way to promote family relationships,Johana María Rosas Villena;Junia Coutinho Anacleto
1858516,Facilita: helping the reading of texts available on the web,Willian Massami Watanabe;Renata Pontin de Mattos Fortes;Thiago Alexandre Salgueiro Pardo;Sandra Maria Aluísio
1858517,A continuous video stream system architecture to provide QoS based on objective metrics,Sérgio A. C. Bezerra;Emmerson S. R. da Silva;Keiko V. O. Fonseca;Alexandre de A. P. Pohl
1858518,Content adaptation for multiplatform applications,Diego Carvalho;Fernando Trinta
1858519,P2PMobileLearning: a content adaptation P2P application on mobile devices,Eduardo Felipe Zambom Santana;Antonio Francisco do Prado;Wanderley Lopes de Souza
1858520,Digital video scenes identification using audiovisual features,Danilo Barbosa Coimbra;Rudinei Goularte
1858521,A system to help digital video subjective evaluation,Emmerson S. R. da Silva;Keiko V. Ono Fonseca;Alexandre de A. Prado Pohl;Sérgio Augusto C. Bezerra;Wyllian Bezerra da Silva
1858522,A framework for social networks new relationships recommendation from the use of folksonomies,"Fábio Khron, Jr.;Sílvio César Cazella"
1858523,Simplifica: a simplified texts web authoring system,Arnaldo Candido Junior;Matheus de Oliveira;Sandra Maria Aluísio
1858524,Utilizing cross-domain SOAP Web services using clientside languages in an enterprise mashup platform,Cleyton Messias dos Santos;Roberta Spolon;Marcos A. Cavenaghi;Renata S. Lobato;Miguel Angel Cañas Vaz
1858525,EducaTV: an architecture to access educational content through IDTV,Lílian S. Oliveira;Diogo S. Martins;Rudinei Goulart;Maria G. Pimentel
1858526,ARGOS: a low cost navigation tangible interface for virtual environments,João Paulo Fechine Sette;Veronica Teichrieb;Ronaldo Ferreira dos Anjos Filho
1858527,Content pollution on P2P Live Streaming systems,João Oliveira;Alex Borges;Sérgio Campos
1858528,Architecture for production and collaboration of TV content on the Internet,Felipe Soares de Oliveira;Jorge Andrade Mangueira;Guido Lemos de Souza Filho
1858529,People reidentification in a distributed camera network,Icaro Oliveira de Oliveira;José Luiz de Souza Pio
1859129,The web of linked data: a global public dataspace on the web: WebDB 2010 keynote,Christian Bizer
1859131,An agglomerative query model for discovery in linked data: semantics and approach,Sidan Gao;Haizhou Fu;Kemafor Anyanwu
1859132,XML-based RDF data management for efficient query processing,Mo Zhou;Yuqing Wu
1859133,Querying Wikipedia documents and relationships,Huong Nguyen;Thanh Nguyen;Hoa Nguyen;Juliana Freire
1859134,WikiAnalytics: disambiguation of keyword search results on highly heterogeneous structured data,Andrey Balmin;Emiran Curtmola
1859136,Find your advisor: robust knowledge gathering from the web,Ndapandula Nakashole;Martin Theobald;Gerhard Weikum
1859137,Redundancy-driven web data extraction and integration,Lorenzo Blanco;Mirko Bronzi;Valter Crescenzi;Paolo Merialdo;Paolo Papotti
1859138,Using latent-structure to detect objects on the web,Luciano Barbosa;Juliana Freire
1859139,Popularity-guided top- k extraction of entity attributes,Matthew Solomon;Cong Yu;Luis Gravano
1859141,Manimal: relational optimization for data-intensive programs,Michael J. Cafarella;Christopher Ré
1859142,Learning topical transition probabilities in click through data with regression models,Xiao Zhang;Prasenjit Mitra
1859143,Improved recommendations via (more) collaboration,Rubi Boim;Haim Kaplan;Tova Milo;Ronitt Rubinfeld
1859145,Concurrent one-way protocols in around-the-clock social networks,Royi Ronen;Oded Shmueli
1859146,Reconciling two models of multihierarchical markup,Neil Moore
1859147,Tree patterns with full text search,Maria-Hendrike Peetz;Maarten Marx
1859186,Reliable data-center scale computations,Pramod Bhatotia;Alexander Wieder;Rodrigo Rodrigues;Flavio Junqueira;Benjamin Reed
1859187,Fault prediction in distributed systems gone wild,Marco Canini;Dejan Novakovi?;Vojin Jovanovi?;Dejan Kosti?
1859188,Independent faults in the cloud,Rachid Guerraoui;Maysam Yabandeh
1859190,Data caching as a cloud service,Gregory Chockler;Guy Laden;Ymir Vigfusson
1859191,Data-centric reconfiguration with network-attached disks,Alexander Shraer;Jean-Philippe Martin;Dahlia Malkhi;Idit Keidar
